Engagements,Followers at Posting,Description,Day_of_Week,Time_in_seconds,Album,Photo,Video,Description_Score
661518,36817926,the raptors find kawhi in the lane to close the half on tnt,2,77986,0,0,1,-0.48762527097161307
597930,36817926,pskills43 rises up for the raptors  nbaontnt,2,75717,0,0,1,-3.335385864178844
647540,36817926,giannis_an34 is out running early on tnt #nbaplayoffs,2,74749,0,0,1,-0.4274932448998812
675423,36784913,we check in with the #mtndew3pt leaders of the conference semis,2,67282,0,0,1,-1.8651076397518738
390471,36784913,during the eastern conference semifinals kawhi leonard scored the 3rd most total points in a series since 1977   ecf game 1  830pm et  nbaontnt,2,65144,0,1,0,-1.0974216031687671
680212,36784913,"the #nbabreakdown stats on kawhis incredible #tissotbuzzerbeater #thisisyourtime 
 ecf game 1
 830pm et
 nbaontnt",2,61518,0,0,1,-1.8380945820593957
304208,36784913,larry bird  magicjohnson will be co recipients of the lifetime achievement award at the 2019 #nbaawards presented by kia 900pm et 6 24 nbaontnt,2,54330,0,1,0,-3.2002653812516746
463910,36784913,both selected 15th overall kawhi leonard  giannis_an34 headline the raptors bucks eastern conference finals 830pm et nbaontnt,2,47897,0,0,1,-2.343695859995114
290887,36784913,the eastern conference finals between the raptors  bucks tips off tonight 830pm et nbaontnt,2,40964,0,1,0,-4.213937392300905
460231,36784913,the warriors open up the western conference finals with a home victory for 1 0 series lead,2,3155,0,1,0,-1.4531764603946733
433009,36784913,the warriors take 1 0 wcf series lead over trailblazers with 116 94 victory at home #nbaplayoffs,1,85484,0,1,0,-2.8951250215045254
773272,36784913,stephencurry30 goes high off the glass to his familys delight  espn,1,83933,0,0,1,3.527114944447849
711896,36784913,stephencurry30 steps into his 8th triple of the night on espn,1,82486,0,0,1,1.5183474555809513
711896,36784913,stephencurry30 puts up back to back triples to end the half on espn,1,80795,0,0,1,1.9462913424458674
668994,36784913,andre finds jonasjerebko in transition for the warriors #nbaplayoffs  espn,1,78896,0,0,1,0.35766664318724417
449479,36784913,dell  sonya curry arrive for tonights western conference finals opener,1,77325,0,1,0,-2.204277216262355
590706,36784913,damianlillard steps back early for the trailblazers on espn #nbaplayoffs,1,76762,0,0,1,-1.0563092113914816
449479,36784913,the 2019 #nbadraftlottery order is set,1,76177,0,1,0,-0.6265933436475386
666938,36756045,meyersleonard11 in the bright citron nike lebron 16 hfr #nbakicks,1,70511,0,0,1,-1.4284041343110228
675435,36756045,who had your fave assist from the western conference semis #statefarmassists,1,51421,0,0,1,-1.0679711575286002
375610,36756045,the western conference finals between the trailblazers  warriors tips off tonight 900pm et on espn,1,45122,0,1,0,-1.5951742364801882
410237,36756045,watch the 2019 #nbadraftlottery presented by state farm tonight on espn at 830pm et,1,34257,0,1,0,-1.8042116701971116
426732,36756045,for the first time in nbahistory brothers will meet in the conference finals as stephencurry30  the warriors face sdotcurry  the trailblazers,0,76714,1,0,0,-2.365254739967047
602840,36716811,kenny wooten kenny shows off his athleticism and gets up to 1505 inches at the max jump  #elitecamp oregonmbb repost nbagleague,0,68472,0,0,1,-3.1153567462347667
384270,36716811,four remain in the 2019 #nbaplayoffs,0,46682,0,1,0,-0.17840684351210298
297205,36716811, all the angles of kawhi leonards incredible #tissotbuzzerbeater for the raptors win #thisisyourtime,0,34300,1,0,0,-1.5404599319839898
352101,36716811,the warriors trailblazers bucks  raptors advance to the conference finals,6,86042,0,1,0,-3.812634184811224
789225,36716811,the friendly bounce up north #tissotbuzzerbeater #thisisyourtime,6,79368,0,0,1,0.2593572007606104
365493,36716811,the raptors defeat the sixers 92 90 in game 7 to advance to the eastern conference finals,6,78709,0,1,0,-4.661629659809247
719941,36716811,kawhi gets the friendly bounce with the #tissotbuzzerbeater for the raptors win to advance to the ecf #thisisyourtime,6,77967,0,0,1,-0.8882434202976635
402171,36716811,the raptors advance to the eastern conference finals,6,77822,0,1,0,-2.0456346506126186
640251,36716811,bensimmons spins to set up joelembiid  nbaontnt,6,74246,0,0,1,-3.0322269026111743
668021,36716811,poetry in motion #phantomcam,6,73981,0,0,1,0.5896461735100551
769422,36686842,kawhi goes up on the right finishes under the left  nbaontnt,6,72576,0,0,1,0.4593120798904272
693385,36686842,kawhi with the steal  slam for the raptors on tnt #nbaplayoffs,6,71288,0,0,1,-0.915754287784597
646168,36686842,3jmccollum puts up 37 to lead the trailblazers in road game 7 victory to advance to the wcf,6,69941,0,0,1,-3.0257741684381614
365421,36686842,the trailblazers defeat the nuggets 100 96 in game 7 to advance to the western conference finals,6,68789,0,1,0,-6.208946564024058
654401,36686842,the best action down the stretch as the trailblazers win game 7 on the road to advance to the wcf,6,67192,0,0,1,-0.8514326971564535
654401,36686842,damianlillard with a mothers day hug for mom following the game 7 win,6,67061,0,0,1,-1.0993939377317732
402092,36686842,the trailblazers advance to the western conference finals #nbaplayoffs,6,65638,0,1,0,-2.876074754848204
633797,36686842,3jmccollum hustles back for the chasedown #nbaonabc,6,64943,0,0,1,-0.27790536198914534
591498,36686842, how the sixers  raptors got to game 7 700pm et nbaontnt,6,63379,0,0,1,-5.056902548156207
633797,36686842,thats_g_ gets it to fall plus the foul #nbaonabc,6,62679,0,0,1,-0.2632165985848148
578158,36686842,jmglitxh27 hangs for the nuggets finish in game 7 #nbaonabc,6,59293,0,0,1,-2.1380747630871815
288127,36686842,the sixers  raptors each look to advance to the eastern conference finals with a game 7 win 700pm et nbaontnt,6,51285,0,1,0,-6.066000499219409
639194,36686842, how the trailblazers  nuggets got to game 7 330pm et #nbaonabc,6,46432,0,0,1,-3.471081515493137
333581,36686842,the trailblazers  nuggets each look to advance to the western conference finals with a game 7 win 330pm et #nbaonabc,6,42034,0,1,0,-5.299625846802789
793110,36686842, happy mothers day ,6,37986,0,0,1,-0.5424880671857419
403891,36686842,its game 7 sunday,6,28647,0,1,0,-0.6402502766410463
754705,36655209," dame the origin story 

 blazers nuggets game 7
 330pm et sunday
 #nbaonabc",5,65631,0,0,1,0.1201977834386142
413357,36655209,weve got two game 7s on sunday with trips to the conference finals on the line #nbaplayoffs,5,43490,0,1,0,-1.9439385427103328
516495,36655209,the warriors advance to the western conference finals with two game 7s on deck sunday,5,5534,0,1,0,-1.708559992320272
798306,36655209,stephencurry30 puts up 23 in the 4th to lead the warriors to victory #nbaplayoffs,5,617,0,0,1,0.8091401914727037
469391,36655209,the warriors defeat the houstonrockets 118 113 to advance to the western conference finals,5,409,0,1,0,-2.8320953138171427
459356,36655209,the warriors advance to the western conference finals #nbaplayoffs,4,85275,0,1,0,-0.22067116437419065
675214,36655209,klaythompson with the late triple to extend the warriors lead on espn #nbaplayoffs,4,84857,0,0,1,0.1484765776172019
648043,36655209,jharden13 with the save  triple for the houstonrockets on espn #nbaplayoffs,4,82260,0,0,1,-0.04321543400020922
689788,36655209,sdot1414 soars for the warriors slam on espn,4,79666,0,0,1,0.3414771425905052
647599,36655209,cp3 gets to his spot in transition on espn #nbaplayoffs,4,79599,0,0,1,-0.06751686914159549
379390,36655209,jay z  beyonce courtside for warriors houstonrockets game 6 on espn #nbaplayoffs #nbacelebrow,4,76817,1,0,0,-1.3356359239628295
610554,36632094,"the houstonrockets move the ball to find officialeg10 wide open on the wing #nbabreakdown

 warriors rockets game 6
 900pm et  espn",4,67741,0,0,1,-1.4703655088943408
346280,36632094,its win or go home for the houstonrockets as the warriors look to advance to the western conference finals 900pm et nbaonespn,4,42357,0,1,0,-3.9572367087499343
365969,36632094,the sixers  trailblazers each win at home to force game 7s on sunday,4,7935,0,1,0,-5.722327993008323
504415,36632094,damianlillard 32p 3jmccollum 30p  hoodie5 25p combine for 87 to lead the trailblazers in game 6 victory #nbaplayoffs,4,5674,0,0,1,-1.8995898127124788
552958,36632094,damianlillard  3jmccollum head to the lockerroom with a trailblazers game 6 w to force a game 7 on sunday #nbaplayoffs,4,5049,0,0,1,-3.4550597289725435
365969,36632094,the trailblazers force a game 7 with 119 108 victory over the nuggets at home #nbaplayoffs,4,4954,0,1,0,-5.021885414573297
678849,36632094,thats tough damianlillard,4,3645,0,0,1,-0.5894276242964865
606171,36632094,hoodie5s up to a new #nbaplayoffs career high 22 for the trailblazers on espn,4,2563,0,0,1,-2.6261850733521204
808337,36632094,logo lillard pulls up  espn,4,1430,0,0,1,1.171182491819308
647611,36632094,damianlillard is finding his groove on espn #nbaplayoffs,3,85121,0,0,1,0.18670161188679602
380131,36632094,the sixers force a game 7 with 112 101 victory over the raptors at home #nbaplayoffs,3,82507,0,1,0,-5.245589779801805
603511,36632094,joelembiids block sets up bensimmons in transition,3,79504,0,0,1,-1.208347929228525
661590,36632094,jimmybutler follows up his miss on espn,3,76722,0,0,1,-0.005804251349847411
725257,36632094,the klaw elevates for the board on espn,3,75170,0,0,1,0.6775174127260972
647611,36632094,tobiasharris opens up scoring in philadelphia on espn #nbaplayoffs,3,74133,0,0,1,0.061938898900908756
556966,36608321," nikola jokics court vision #nbabreakdown

 nuggets x trailblazers game 6
 1030pm et
 nbaonespn",3,58070,0,0,1,-3.5428279680655743
299679,36608321,its win or go home for the sixers as the raptors look to advance to the eastern conference finals 800pm et nbaonespn,3,44498,0,1,0,-5.807852656482137
627177,36608321,i knew that people would doubt me   damianlillard is #heretocreate,3,38047,0,0,1,-0.18115665367517653
453378,36608321,the bucks advance to the eastern conference finals 4 1 and warriors take 3 2 series lead in wednesdays #nbaplayoffs action,3,16210,0,1,0,-2.4969763953846327
608922,36608321,klaythompson finishes with the left for the clutch warriors bucket #phantomcam,3,5630,0,0,1,0.6879332667903184
759530,36608321,warriors come up clutch down the stretch to take a 3 2 series lead #nbaplayoffs,3,5356,0,0,1,1.135790984259922
498876,36608321,the warriors take a 3 2 series lead with 104 99 home win #nbaplayoffs,3,4926,0,1,0,-0.5014560483483478
672657,36608321,officialeg10 between the eyes  nbaontnt,3,3286,0,0,1,-1.81663949366135
673117,36608321,jharden13 dumps it off to pjtucker for the slam  nbaontnt,3,950,0,0,1,-0.5145924492928029
615205,36608321,stephencurry30 finishes through the lens of our slo mo #phantomcam #nbaplayoffs,3,164,0,0,1,-0.5691346518373672
635749,36608321,easymoneysniper hits ahead to stephencurry30 on tnt #nbaplayoffs,2,85009,0,0,1,0.7868836586928378
647623,36608321,andre elevates early in game 5 on tnt #nbaplayoffs,2,82149,0,0,1,0.25558217346862
661602,36608321,game 5 in oakland nbaontnt next,2,81524,0,0,1,-1.568735511857974
385369,36608321,the bucks advance to the eastern conference finals #nbaplayoffs,2,81021,0,1,0,-1.7551714383678838
771154,36608321,brogdon up top to hill #nbaplayoffs  tnt,2,80404,0,0,1,1.507525626821795
788535,36608321,giannis_an34  kyrieirving show out before the half on tnt #nbaplayoffs,2,76662,0,0,1,2.741265577636874
590770,36608321,giannis_an34 protects the paint for the bucks on tnt #nbaplayoffs,2,73523,0,0,1,-2.2937569689631854
341420,36590040,"for the first time in nbahistory two opposing players are each averaging 35+ ppg in #nbaplayoffs series
 houstonrockets x warriors game 5  1030pm et  nbaontnt",2,72364,0,1,0,-5.713002514208739
576028,36590040," money23green micd up 

 houstonrockets x warriors game 5
 1030pm et  nbaontnt",2,67425,0,0,1,-3.2794035655797384
471569,36590040,in budweiserusa #legendarymoments history we showcase gerald hendersons clutch steal for the celtics in game 2 of the 1984 #nbafinals who do you have tonight celtics or bucks,2,61318,0,0,1,-5.109769820378981
322058,36590040,the houstonrockets  warriors each look to take 3 2 series lead with a win 1030pm et nbaontnt,2,45289,0,1,0,-4.185428397433047
360753,36590040,its win or go home for the celtics as the bucks look to advance to the eastern conference finals 800pm et nbaontnt,2,39312,0,1,0,-4.838064791355707
358126,36590040,the raptors  nuggets each win at home for 3 2 series leads #nbaplayoffs,2,10353,0,1,0,-4.97822435998165
606193,36590040,nikola jokic 25p 19r  paulmillsap4 24p 8r power the nuggets game 5 victory for 3 2 lead #nbaplayoffs,2,7292,0,0,1,-0.7824672305562875
358126,36590040,the nuggets take 3 2 series lead over trailblazers with 124 98 at home #nbaplayoffs,2,4979,0,1,0,-5.004377171878026
641715,36590040,jmglitxh27 under the rim three times #nbaplayoffs  nbaontnt,1,85422,0,0,1,-0.868058869745935
725284,36590040,kawhi wont be denied,1,79214,0,0,1,1.5162837709542893
709959,36590040,kawhi rises up on tnt #nbaplayoffs,1,77194,0,0,1,1.4336323351243172
655567,36590040,sergeibaka off the dribble   nbaontnt,1,75088,0,0,1,-0.7275592926839772
661614,36590040,the raptors turn defense into the kawhi slam,1,75034,0,0,1,-0.821199317088162
463487,36564548,"joelembiid  sergeibaka protect the paint #nbabreakdown  sixers raptors g5
 800pm et  nbaontnt",1,66350,0,0,1,-5.6943687316857705
539003,36564548,in budweiserusa #legendarymoments history we showcase kennysmiths 7 three performance in game 1 of the 1995 #nbafinals who do you have in game 5 wednesdayhoustonrockets or warriors,1,50958,0,0,1,-0.4536291988639145
353893,36564548,two pivotal game 5s in tonights nbaontnt #nbaplayoffs action,1,45318,1,0,0,-1.4019903447129292
679351,36564548,jharden13 puts up game high 38 in houstonrockets game 4 victory,1,2168,0,0,1,0.41634717400083465
442193,36564548,the houstonrockets even their series with the warriors 2 2 on 112 108 home victory #nbaplayoffs,1,1170,0,1,0,-1.5817297054245758
590792,36564548,cp3 handle  dime to austinjrivers on tnt #nbaplayoffs,0,85478,0,0,1,-0.3254035591242949
771710,36564548,jharden13 slips the screen for the layup to end the 3rd q #nbaplayoffs  tnt,0,85098,0,0,1,1.2749693461745415
365439,36564548,congrats to jharden13 of the houstonrockets for moving up to 12th on the #nbaplayoffs 3pm list,0,83771,0,1,0,-3.8253852662289396
641727,36564548,easymoneysniper fakes  drops it off to flyght5 #nbaplayoffs  tnt,0,80785,0,0,1,-0.21863208733633305
757044,36564548,stephencurry30 handles early in game 4 #nbaplayoffs  tnt,0,79506,0,0,1,1.7610231348828915
453792,36564548,the bucks take 3 1 series lead over celtics with 113 101 victory in boston #nbaplayoffs,0,77670,0,1,0,-3.8952625288411546
647646,36564548,giannis_an34 down the lane #nbaplayoffs,0,77475,0,0,1,-0.012268514876028203
703483,36564548, the block  the and 1 finish for giannis_an34 on tnt #nbaplayoffs,0,76928,0,0,1,-1.2746234168962007
590792,36564548,patconnaughton turns defense into offense with the block  slam for the bucks on tnt #nbaplayoffs,0,75625,0,0,1,-1.3124000077763138
788563,36564548,kyrieirving breaks free to find alhorford on tnt #nbaplayoffs,0,74615,0,0,1,3.092612219621835
590802,36542637,giannis_an34 fights through the lane for the bucks #nbaplayoffs,0,69652,0,0,1,-2.3044062001626777
590802,36542637,thebledshow goes up  under for the bucks on tnt #nbaplayoffs,0,69600,0,0,1,-1.8245242241679926
497890,36542637,youngamechanger is available to play for the celtics tonight 700pm et nbaontnt #nbaplayoffs,0,67495,0,0,1,-3.8226151169414826
580747,36542637,"ccapela15 protects the paint for the houstonrockets #nbabreakdown

 warriors x houstonrockets game 4
 930pm et  tnt",0,66875,0,0,1,-4.263265494312552
727837,36542637," giannis the origin story 

 bucks celtics game 4
 7pm et  tnt",0,53170,0,0,1,-1.1646538115564977
344646,36542637,the bucks and warriors seek commanding 3 1 leads while the celtics and houstonrockets look to even it up 2 2 in tonights nbaontnt #nbaplayoffs action,0,46978,1,0,0,-4.835312834599137
383830,36542637,the #nbaplayoffs bracket ahead of tonights action,0,43408,0,1,0,-1.3905992404261729
333549,36542637,join us in wishing cp3 of the houstonrockets a happy 34th birthday #nbabday,0,39951,0,1,0,-4.993521760383223
365075,36542637,the raptors 2 2 and nuggets 2 2 both won on the road in sundays #nbaplayoffs action,6,84106,0,1,0,-2.9308605461087978
632584,36542637,jmglitxh27 puts up a game high 34 to lead the nuggets on the road #nbaplayoffs,6,79945,0,0,1,-1.3635058142603511
365075,36542637,the nuggets even their series 2 2 with trailblazers on 116 112 victory in portland #nbakicks,6,79316,0,1,0,-2.724527040660894
687122,36542637, finds the cutting thats_g_ for the late nuggets bucket #nbaplayoffs,6,77844,0,0,1,-2.9558125143617335
401711,36542637,nikola jokic notches his 4th triple double of the #nbaplayoffs for the nuggets,6,77345,0,1,0,-2.2832744361273125
693460,36542637,sdotcurry beats the buzzer for 16 first half points on tnt #nbaplayoffs,6,73509,0,0,1,-1.5448711654045142
693473,36515589,sdotcurry is feelin it with three straight triples #nbaplayoffs,6,72395,0,0,1,-0.2080348450979882
632596,36515589,chiefhasarrived rocks the rim off the damianlillard dish #nbaplayoffs,6,70430,0,0,1,-0.11382597142495049
632596,36515589,jmglitxh27 hammers it home for the nuggets on tnt #nbaplayoffs,6,69969,0,0,1,-2.259526452004716
708442,36515589,how jmglitxh27,6,69114,0,0,1,-0.25964097062103925
640656,36515589,kawhi scores 22 in the second half to lead raptors to road w #nbaplayoffs,6,67295,0,0,1,-0.9088526835441232
702309,36515589,kawhi leonard buries the clutch triple late in the shot clock #nbaplayoffs,6,65765,0,0,1,2.4458261763576323
566014,36515589,joelembiid spins to the rim for the sixers #nbaplayoffs #nbaonabc,6,62882,0,0,1,-2.3838675426753886
