Engagements,Followers at Posting,Description,Day_of_Week,Time_in_seconds,Album,Photo,Video
470061,36872342,the bucks join the warriors with 2 0 conference leads #nbaplayoffs,5,20,0,1,0
603424,36872342,giannis_an34 powers the bucks to 2 0 ecf lead with 30 points  17 boards,4,83851,0,0,1
647517,36872342,giannis_an34 muscles into the lane for the and one #nbaplayoffs,4,82040,0,0,1
661494,36872342,giannis_an34 stretches for the slam on tnt,4,75445,0,0,1
661494,36872342,giannis_an34 with the slam  swat to open game 2 of the eastern conference finals on tnt,4,74598,0,0,1
465482,36846041, presenting the finalists for the six awards that honor the top performers from the 2018 19 regular season at the 2019 #nbaawards 900pm et june 24th nbaontnt,4,72862,1,0,0
608357,36846041,ahead of game 2 of the eastern conference finals 830pm et nbaontnt we flash back to kawhi at the #nbacombine repost nbahistory,4,70117,0,0,1
507998,36846041," giannis_an34s clutch 4th q in game 1 of the ecf #nbabreakdown

 raptors bucks g2
 830pm et
 nbaontnt",4,62000,0,0,1
471492,36846041,our peeps spiceadams tristanj22 jesser  iamkrislondon of the #nbaplaymakers test their skills at the #nbacombine powered by under armour coverage continues 300pm et espn2,4,51755,0,0,1
297294,36846041,will the raptors even the ecf up 1 1 or will the bucks go up 2 0 830pm et nbaontnt,4,37793,0,1,0
470368,36846041,the warriors take 2 0 series lead in the western conference finals,4,6500,0,1,0
608834,36846041,andre with the big defensive stop for the warriors #phantomcam,4,3869,0,0,1
775812,36846041,the warriors close out on 14 3 run to win game 2 of the western conference finals,4,582,0,0,1
652240,36846041,well have the film clip at home stephencurry30 on playing his brother sdotcurry #nbaplayoffs,4,289,0,0,1
427470,36846041,the warriors take 2 0 wcf lead over trailblazers with 114 111 home w,4,58,0,1,0
675140,36846041,andres defense seals the warriors game 2 victory #nbaplayoffs,3,85481,0,0,1
538831,36846041,sdotcurry triple  money23green to flyght5 lob late in game 2 #nbaplayoffs,3,85036,0,0,1
661506,36846041,what a play by damianlillard,3,84072,0,0,1
597919,36846041,damianlillard finds the cutting meyersleonard11 for the trailblazers  on espn,3,83695,0,0,1
647529,36846041,the trailblazers sink franchise #nbaplayoffs high for a half with 11 made threes in the first half on espn,3,81898,0,0,1
655460,36846041,jonasjerebko gets flashy to jbell  espn,3,79059,0,0,1
689726,36817926,the warriors  trailblazers arrive for game 2 of the western conference finals on espn,3,70123,0,0,1
420467,36817926, only 2 weeks left until the #nbafinals presented by youtube tv,3,66683,1,0,0
580642,36817926,"money23green tosses it to andre #nbabreakdown

 trailblazers warriors g2
 900pm et
 espn",3,53958,0,0,1
674842,36817926,before the #nbacombine powered by under armour gets underway 300pm et espn2 we throw it back to stephencurry30 in 2009,3,44856,0,0,1
368291,36817926,will the trailblazers even the wcf up 1 1 or will the warriors go up 2 0 900pm et nbaonespn,3,38159,0,1,0
454003,36817926,the bucks join warriors with 1 0 conference finals lead #nbaplayoffs,3,1941,0,1,0
661518,36817926,brook lopez puts up 29 points  adds 4 blocks in the bucks ecf game 1 w,2,83835,0,0,1
350706,36817926,the bucks take 1 0 ecf series lead over raptors with 108 100 victory at home #nbaplayoffs,2,82986,0,1,0
661518,36817926,brook lopez with the big slam  triple late for the bucks,2,82848,0,0,1
661518,36817926,thebledshow with a pair of tough finishes on tnt,2,79120,0,0,1
725178,36817926,shooters touch,2,78848,0,0,1
569098,36817926,pskills43 on the attack #phantomcam,2,78229,0,0,1
661518,36817926,the raptors find kawhi in the lane to close the half on tnt,2,77986,0,0,1
597930,36817926,pskills43 rises up for the raptors  nbaontnt,2,75717,0,0,1
647540,36817926,giannis_an34 is out running early on tnt #nbaplayoffs,2,74749,0,0,1
675423,36784913,we check in with the #mtndew3pt leaders of the conference semis,2,67282,0,0,1
390471,36784913,during the eastern conference semifinals kawhi leonard scored the 3rd most total points in a series since 1977   ecf game 1  830pm et  nbaontnt,2,65144,0,1,0
680212,36784913,"the #nbabreakdown stats on kawhis incredible #tissotbuzzerbeater #thisisyourtime 
 ecf game 1
 830pm et
 nbaontnt",2,61518,0,0,1
304208,36784913,larry bird  magicjohnson will be co recipients of the lifetime achievement award at the 2019 #nbaawards presented by kia 900pm et 6 24 nbaontnt,2,54330,0,1,0
463910,36784913,both selected 15th overall kawhi leonard  giannis_an34 headline the raptors bucks eastern conference finals 830pm et nbaontnt,2,47897,0,0,1
290887,36784913,the eastern conference finals between the raptors  bucks tips off tonight 830pm et nbaontnt,2,40964,0,1,0
460231,36784913,the warriors open up the western conference finals with a home victory for 1 0 series lead,2,3155,0,1,0
433009,36784913,the warriors take 1 0 wcf series lead over trailblazers with 116 94 victory at home #nbaplayoffs,1,85484,0,1,0
773272,36784913,stephencurry30 goes high off the glass to his familys delight  espn,1,83933,0,0,1
711896,36784913,stephencurry30 steps into his 8th triple of the night on espn,1,82486,0,0,1
711896,36784913,stephencurry30 puts up back to back triples to end the half on espn,1,80795,0,0,1
668994,36784913,andre finds jonasjerebko in transition for the warriors #nbaplayoffs  espn,1,78896,0,0,1
449479,36784913,dell  sonya curry arrive for tonights western conference finals opener,1,77325,0,1,0
590706,36784913,damianlillard steps back early for the trailblazers on espn #nbaplayoffs,1,76762,0,0,1
449479,36784913,the 2019 #nbadraftlottery order is set,1,76177,0,1,0
666938,36756045,meyersleonard11 in the bright citron nike lebron 16 hfr #nbakicks,1,70511,0,0,1
675435,36756045,who had your fave assist from the western conference semis #statefarmassists,1,51421,0,0,1
375610,36756045,the western conference finals between the trailblazers  warriors tips off tonight 900pm et on espn,1,45122,0,1,0
410237,36756045,watch the 2019 #nbadraftlottery presented by state farm tonight on espn at 830pm et,1,34257,0,1,0
426732,36756045,for the first time in nbahistory brothers will meet in the conference finals as stephencurry30  the warriors face sdotcurry  the trailblazers,0,76714,1,0,0
602840,36716811,kenny wooten kenny shows off his athleticism and gets up to 1505 inches at the max jump  #elitecamp oregonmbb repost nbagleague,0,68472,0,0,1
384270,36716811,four remain in the 2019 #nbaplayoffs,0,46682,0,1,0
297205,36716811, all the angles of kawhi leonards incredible #tissotbuzzerbeater for the raptors win #thisisyourtime,0,34300,1,0,0
352101,36716811,the warriors trailblazers bucks  raptors advance to the conference finals,6,86042,0,1,0
789225,36716811,the friendly bounce up north #tissotbuzzerbeater #thisisyourtime,6,79368,0,0,1
365493,36716811,the raptors defeat the sixers 92 90 in game 7 to advance to the eastern conference finals,6,78709,0,1,0
719941,36716811,kawhi gets the friendly bounce with the #tissotbuzzerbeater for the raptors win to advance to the ecf #thisisyourtime,6,77967,0,0,1
402171,36716811,the raptors advance to the eastern conference finals,6,77822,0,1,0
640251,36716811,bensimmons spins to set up joelembiid  nbaontnt,6,74246,0,0,1
668021,36716811,poetry in motion #phantomcam,6,73981,0,0,1
769422,36686842,kawhi goes up on the right finishes under the left  nbaontnt,6,72576,0,0,1
693385,36686842,kawhi with the steal  slam for the raptors on tnt #nbaplayoffs,6,71288,0,0,1
646168,36686842,3jmccollum puts up 37 to lead the trailblazers in road game 7 victory to advance to the wcf,6,69941,0,0,1
365421,36686842,the trailblazers defeat the nuggets 100 96 in game 7 to advance to the western conference finals,6,68789,0,1,0
654401,36686842,the best action down the stretch as the trailblazers win game 7 on the road to advance to the wcf,6,67192,0,0,1
654401,36686842,damianlillard with a mothers day hug for mom following the game 7 win,6,67061,0,0,1
402092,36686842,the trailblazers advance to the western conference finals #nbaplayoffs,6,65638,0,1,0
633797,36686842,3jmccollum hustles back for the chasedown #nbaonabc,6,64943,0,0,1
591498,36686842, how the sixers  raptors got to game 7 700pm et nbaontnt,6,63379,0,0,1
633797,36686842,thats_g_ gets it to fall plus the foul #nbaonabc,6,62679,0,0,1
578158,36686842,jmglitxh27 hangs for the nuggets finish in game 7 #nbaonabc,6,59293,0,0,1
288127,36686842,the sixers  raptors each look to advance to the eastern conference finals with a game 7 win 700pm et nbaontnt,6,51285,0,1,0
639194,36686842, how the trailblazers  nuggets got to game 7 330pm et #nbaonabc,6,46432,0,0,1
333581,36686842,the trailblazers  nuggets each look to advance to the western conference finals with a game 7 win 330pm et #nbaonabc,6,42034,0,1,0
793110,36686842, happy mothers day ,6,37986,0,0,1
403891,36686842,its game 7 sunday,6,28647,0,1,0
754705,36655209," dame the origin story 

 blazers nuggets game 7
 330pm et sunday
 #nbaonabc",5,65631,0,0,1
413357,36655209,weve got two game 7s on sunday with trips to the conference finals on the line #nbaplayoffs,5,43490,0,1,0
516495,36655209,the warriors advance to the western conference finals with two game 7s on deck sunday,5,5534,0,1,0
798306,36655209,stephencurry30 puts up 23 in the 4th to lead the warriors to victory #nbaplayoffs,5,617,0,0,1
469391,36655209,the warriors defeat the houstonrockets 118 113 to advance to the western conference finals,5,409,0,1,0
459356,36655209,the warriors advance to the western conference finals #nbaplayoffs,4,85275,0,1,0
675214,36655209,klaythompson with the late triple to extend the warriors lead on espn #nbaplayoffs,4,84857,0,0,1
648043,36655209,jharden13 with the save  triple for the houstonrockets on espn #nbaplayoffs,4,82260,0,0,1
689788,36655209,sdot1414 soars for the warriors slam on espn,4,79666,0,0,1
647599,36655209,cp3 gets to his spot in transition on espn #nbaplayoffs,4,79599,0,0,1
379390,36655209,jay z  beyonce courtside for warriors houstonrockets game 6 on espn #nbaplayoffs #nbacelebrow,4,76817,1,0,0
610554,36632094,"the houstonrockets move the ball to find officialeg10 wide open on the wing #nbabreakdown

 warriors rockets game 6
 900pm et  espn",4,67741,0,0,1
346280,36632094,its win or go home for the houstonrockets as the warriors look to advance to the western conference finals 900pm et nbaonespn,4,42357,0,1,0
365969,36632094,the sixers  trailblazers each win at home to force game 7s on sunday,4,7935,0,1,0
504415,36632094,damianlillard 32p 3jmccollum 30p  hoodie5 25p combine for 87 to lead the trailblazers in game 6 victory #nbaplayoffs,4,5674,0,0,1
552958,36632094,damianlillard  3jmccollum head to the lockerroom with a trailblazers game 6 w to force a game 7 on sunday #nbaplayoffs,4,5049,0,0,1
365969,36632094,the trailblazers force a game 7 with 119 108 victory over the nuggets at home #nbaplayoffs,4,4954,0,1,0
678849,36632094,thats tough damianlillard,4,3645,0,0,1
606171,36632094,hoodie5s up to a new #nbaplayoffs career high 22 for the trailblazers on espn,4,2563,0,0,1
808337,36632094,logo lillard pulls up  espn,4,1430,0,0,1
647611,36632094,damianlillard is finding his groove on espn #nbaplayoffs,3,85121,0,0,1
380131,36632094,the sixers force a game 7 with 112 101 victory over the raptors at home #nbaplayoffs,3,82507,0,1,0
603511,36632094,joelembiids block sets up bensimmons in transition,3,79504,0,0,1
661590,36632094,jimmybutler follows up his miss on espn,3,76722,0,0,1
725257,36632094,the klaw elevates for the board on espn,3,75170,0,0,1
647611,36632094,tobiasharris opens up scoring in philadelphia on espn #nbaplayoffs,3,74133,0,0,1
556966,36608321," nikola jokics court vision #nbabreakdown

 nuggets x trailblazers game 6
 1030pm et
 nbaonespn",3,58070,0,0,1
299679,36608321,its win or go home for the sixers as the raptors look to advance to the eastern conference finals 800pm et nbaonespn,3,44498,0,1,0
627177,36608321,i knew that people would doubt me   damianlillard is #heretocreate,3,38047,0,0,1
453378,36608321,the bucks advance to the eastern conference finals 4 1 and warriors take 3 2 series lead in wednesdays #nbaplayoffs action,3,16210,0,1,0
608922,36608321,klaythompson finishes with the left for the clutch warriors bucket #phantomcam,3,5630,0,0,1
759530,36608321,warriors come up clutch down the stretch to take a 3 2 series lead #nbaplayoffs,3,5356,0,0,1
498876,36608321,the warriors take a 3 2 series lead with 104 99 home win #nbaplayoffs,3,4926,0,1,0
672657,36608321,officialeg10 between the eyes  nbaontnt,3,3286,0,0,1
673117,36608321,jharden13 dumps it off to pjtucker for the slam  nbaontnt,3,950,0,0,1
615205,36608321,stephencurry30 finishes through the lens of our slo mo #phantomcam #nbaplayoffs,3,164,0,0,1
635749,36608321,easymoneysniper hits ahead to stephencurry30 on tnt #nbaplayoffs,2,85009,0,0,1
647623,36608321,andre elevates early in game 5 on tnt #nbaplayoffs,2,82149,0,0,1
661602,36608321,game 5 in oakland nbaontnt next,2,81524,0,0,1
385369,36608321,the bucks advance to the eastern conference finals #nbaplayoffs,2,81021,0,1,0
771154,36608321,brogdon up top to hill #nbaplayoffs  tnt,2,80404,0,0,1
788535,36608321,giannis_an34  kyrieirving show out before the half on tnt #nbaplayoffs,2,76662,0,0,1
590770,36608321,giannis_an34 protects the paint for the bucks on tnt #nbaplayoffs,2,73523,0,0,1
341420,36590040,"for the first time in nbahistory two opposing players are each averaging 35+ ppg in #nbaplayoffs series
 houstonrockets x warriors game 5  1030pm et  nbaontnt",2,72364,0,1,0
576028,36590040," money23green micd up 

 houstonrockets x warriors game 5
 1030pm et  nbaontnt",2,67425,0,0,1
471569,36590040,in budweiserusa #legendarymoments history we showcase gerald hendersons clutch steal for the celtics in game 2 of the 1984 #nbafinals who do you have tonight celtics or bucks,2,61318,0,0,1
322058,36590040,the houstonrockets  warriors each look to take 3 2 series lead with a win 1030pm et nbaontnt,2,45289,0,1,0
360753,36590040,its win or go home for the celtics as the bucks look to advance to the eastern conference finals 800pm et nbaontnt,2,39312,0,1,0
358126,36590040,the raptors  nuggets each win at home for 3 2 series leads #nbaplayoffs,2,10353,0,1,0
606193,36590040,nikola jokic 25p 19r  paulmillsap4 24p 8r power the nuggets game 5 victory for 3 2 lead #nbaplayoffs,2,7292,0,0,1
358126,36590040,the nuggets take 3 2 series lead over trailblazers with 124 98 at home #nbaplayoffs,2,4979,0,1,0
641715,36590040,jmglitxh27 under the rim three times #nbaplayoffs  nbaontnt,1,85422,0,0,1
725284,36590040,kawhi wont be denied,1,79214,0,0,1
709959,36590040,kawhi rises up on tnt #nbaplayoffs,1,77194,0,0,1
655567,36590040,sergeibaka off the dribble   nbaontnt,1,75088,0,0,1
661614,36590040,the raptors turn defense into the kawhi slam,1,75034,0,0,1
463487,36564548,"joelembiid  sergeibaka protect the paint #nbabreakdown  sixers raptors g5
 800pm et  nbaontnt",1,66350,0,0,1
539003,36564548,in budweiserusa #legendarymoments history we showcase kennysmiths 7 three performance in game 1 of the 1995 #nbafinals who do you have in game 5 wednesdayhoustonrockets or warriors,1,50958,0,0,1
353893,36564548,two pivotal game 5s in tonights nbaontnt #nbaplayoffs action,1,45318,1,0,0
679351,36564548,jharden13 puts up game high 38 in houstonrockets game 4 victory,1,2168,0,0,1
442193,36564548,the houstonrockets even their series with the warriors 2 2 on 112 108 home victory #nbaplayoffs,1,1170,0,1,0
590792,36564548,cp3 handle  dime to austinjrivers on tnt #nbaplayoffs,0,85478,0,0,1
771710,36564548,jharden13 slips the screen for the layup to end the 3rd q #nbaplayoffs  tnt,0,85098,0,0,1
365439,36564548,congrats to jharden13 of the houstonrockets for moving up to 12th on the #nbaplayoffs 3pm list,0,83771,0,1,0
641727,36564548,easymoneysniper fakes  drops it off to flyght5 #nbaplayoffs  tnt,0,80785,0,0,1
757044,36564548,stephencurry30 handles early in game 4 #nbaplayoffs  tnt,0,79506,0,0,1
453792,36564548,the bucks take 3 1 series lead over celtics with 113 101 victory in boston #nbaplayoffs,0,77670,0,1,0
647646,36564548,giannis_an34 down the lane #nbaplayoffs,0,77475,0,0,1
703483,36564548, the block  the and 1 finish for giannis_an34 on tnt #nbaplayoffs,0,76928,0,0,1
590792,36564548,patconnaughton turns defense into offense with the block  slam for the bucks on tnt #nbaplayoffs,0,75625,0,0,1
788563,36564548,kyrieirving breaks free to find alhorford on tnt #nbaplayoffs,0,74615,0,0,1
590802,36542637,giannis_an34 fights through the lane for the bucks #nbaplayoffs,0,69652,0,0,1
590802,36542637,thebledshow goes up  under for the bucks on tnt #nbaplayoffs,0,69600,0,0,1
497890,36542637,youngamechanger is available to play for the celtics tonight 700pm et nbaontnt #nbaplayoffs,0,67495,0,0,1
580747,36542637,"ccapela15 protects the paint for the houstonrockets #nbabreakdown

 warriors x houstonrockets game 4
 930pm et  tnt",0,66875,0,0,1
727837,36542637," giannis the origin story 

 bucks celtics game 4
 7pm et  tnt",0,53170,0,0,1
344646,36542637,the bucks and warriors seek commanding 3 1 leads while the celtics and houstonrockets look to even it up 2 2 in tonights nbaontnt #nbaplayoffs action,0,46978,1,0,0
383830,36542637,the #nbaplayoffs bracket ahead of tonights action,0,43408,0,1,0
333549,36542637,join us in wishing cp3 of the houstonrockets a happy 34th birthday #nbabday,0,39951,0,1,0
365075,36542637,the raptors 2 2 and nuggets 2 2 both won on the road in sundays #nbaplayoffs action,6,84106,0,1,0
632584,36542637,jmglitxh27 puts up a game high 34 to lead the nuggets on the road #nbaplayoffs,6,79945,0,0,1
365075,36542637,the nuggets even their series 2 2 with trailblazers on 116 112 victory in portland #nbakicks,6,79316,0,1,0
687122,36542637, finds the cutting thats_g_ for the late nuggets bucket #nbaplayoffs,6,77844,0,0,1
401711,36542637,nikola jokic notches his 4th triple double of the #nbaplayoffs for the nuggets,6,77345,0,1,0
693460,36542637,sdotcurry beats the buzzer for 16 first half points on tnt #nbaplayoffs,6,73509,0,0,1
693473,36515589,sdotcurry is feelin it with three straight triples #nbaplayoffs,6,72395,0,0,1
632596,36515589,chiefhasarrived rocks the rim off the damianlillard dish #nbaplayoffs,6,70430,0,0,1
632596,36515589,jmglitxh27 hammers it home for the nuggets on tnt #nbaplayoffs,6,69969,0,0,1
708442,36515589,how jmglitxh27,6,69114,0,0,1
640656,36515589,kawhi scores 22 in the second half to lead raptors to road w #nbaplayoffs,6,67295,0,0,1
702309,36515589,kawhi leonard buries the clutch triple late in the shot clock #nbaplayoffs,6,65765,0,0,1
566014,36515589,joelembiid spins to the rim for the sixers #nbaplayoffs #nbaonabc,6,62882,0,0,1
584415,36515589,kyle_lowry7 with the pin point dime to pskills43 on abc #nbaplayoffs,6,62636,0,0,1
566014,36515589,joelembiid with the swat bensimmons with the slam #nbaplayoffs #nbaonabc,6,60197,0,0,1
614813,36515589,joelembiid flushes it home for the sixers #nbaplayoffs  #nbaonabc,6,59029,0,0,1
577620,36515589,"the sixers force the turnover #nbabreakdown 
 raptors sixers g4
 330pm et  #nbaonabc",6,48791,0,0,1
458556,36515589,the houstonrockets win game 3 126 121 in overtime  now trail the warriors 2 1 #nbaplayoffs,5,85123,0,1,0
693948,36515589,jharden13 triple + floater late in ot propels the houstonrockets to a game 3 victory #nbaplayoffs,5,84940,0,0,1
357280,36515589,congrats to jharden13 of the houstonrockets for moving up to 13th on the #nbaplayoffs 3pm list as we celebrate budweiserusa #legendarymoments,5,82702,0,1,0
432586,36515589,money23green has recorded his 6th career #nbaplayoffs triple double on #nbaonabc #nbaplayoffs,5,81935,0,1,0
665500,36515589,cp3 finds a rolling ccapela15 #nbaonabc #nbaplayoffs ,5,81717,0,0,1
767669,36515589,warriors turn defense into transition offense #nbaonabc #nbaplayoffs,5,81233,0,0,1
458556,36515589,congrats to easymoneysniper of the warriors for moving up to 10th on the #nbaplayoffs scoring list,5,80603,0,1,0
458556,36515589,congrats to easymoneysniper of the warriors for moving up to 7th on the #nbaplayoffs 3pm list,5,78050,0,1,0
729544,36515589, ccapela15 protects the rim #nbaonabc #nbaplayoffs ,5,76434,0,0,1
736273,36515589,game 3 starts now #nbaplayoffs #nbaonabc,5,74744,0,0,1
660220,36490250,"money23greens defensive rotation leads to a stop #nbabreakdown 
 warriors x houstonrockets g3
 830pm et  #nbaonabc",5,61514,0,0,1
717900,36490250," steph curry origin story 

 warriors x houstonrockets g3
 830pm et  #nbaonabc",5,52946,0,0,1
418531,36490250,the warriors look to go up 3 0 while the houstonrockets look to get on track at home 830pm et #nbaonabc #nbaplayoffs,5,38703,0,1,0
358820,36490250,join us in wishing vicoladipo of the pacers a happy 27th birthday #nbabday,5,26227,0,1,0
401987,36490250,the bucks and trailblazers in 4ot each take 2 1 series leads in fridays #nbaplayoffs action,5,12331,0,1,0
558424,36490250,hoodie5 puts the trailblazers up through the lens of our slo mo #phantomcam #nbaplayoffs,5,11900,0,0,1
711577,36490250,3jmccollum scores 18 of his game high 41 following regulation #nbaplayoffs,5,11015,0,0,1
711577,36490250, both teams competed we wanted that game bad   3jmccollum 60 minutes of action #nbaplayoffs,5,9790,0,0,1
401987,36490250,the trailblazers take a 2 1 series lead over nuggets with a 4ot 140 137 home win the second 4ot game in #nbaplayoffs history,5,9578,0,1,0
649110,36490250,hoodie5 puts the trailblazers up for good in 4th ot #nbaplayoffs,5,8204,0,0,1
657061,36490250,damianlillard drives to send nuggets trailblazers to a 4th ot  espn,5,7063,0,0,1
663121,36490250,paulmillsap4 fades to put nuggets up 4 in 3ot on espn,5,6838,0,0,1
442328,36490250,nikola jokic notches his 3rd triple double of the #nbaplayoffs for the nuggets #tripledoublealert,5,4566,0,1,0
663121,36490250,late buckets send nuggets trailblazers to ot on espn,5,4128,0,0,1
705073,36490250,damianlillard pulls up from deep for the trailblazers #nbaplayoffs  espn,5,2292,0,0,1
590824,36490250,jmglitxh27 uses the screen for the nuggets triple on espn #nbaplayoffs,4,86069,0,0,1
443953,36490250,the bucks take 2 1 series lead over celtics with 123 116 victory in boston #nbaplayoffs,4,83497,0,1,0
590824,36490250,damianlillard gets to the rim for the trailblazers on espn #nbaplayoffs,4,83163,0,0,1
603577,36490250,giannis_an34s swat sparks the bucks transition on espn,4,78690,0,0,1
787871,36490250, jaylen brown rises up,4,77850,0,0,1
641761,36490250,fchwpos block sets up the foestar13 triple #nbaplayoffs  espn,4,75958,0,0,1
864497,36490250,kyrieirvings going to work on espn #nbaplayoffs,4,75024,0,0,1
939030,36490250,kyrieirving stops on a dime for the triple #nbaplayoffs  espn,4,73541,0,0,1
610631,36463902,"the celtics and bucks look to defend #nbabreakdown

 800pm et  espn",4,64165,0,0,1
318931,36463902," logo lillard returns home 

 nuggets x trailblazers g3
 1030pm et  espn",4,55041,0,1,0
375497,36463902,tonights espn #nbaplayoffs action features two game 3s,4,49302,1,0,0
569232,36463902,joelembiid throws down the windmill off the drive #phantomcam,3,83527,0,0,1
725349,36463902, jimmy butler micd up ,3,81613,0,0,1
787885,36463902, joel embiid ,3,81417,0,0,1
